name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Sérgio Oliveira,Central Midfield,30,12,Portugal,Liga Portugal,FC Porto,Turkey,Süper Lig,Galatasaray A.S.,3
Maxi Gómez,Centre-Forward,26,12,Spain,LaLiga,Valencia CF,Turkey,Süper Lig,Trabzonspor,3
Andrea Petagna,Centre-Forward,27,12,Italy,Serie A,SSC Napoli,Italy,Serie A,AC Monza,2
Razvan Marin,Central Midfield,26,12,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,1
Boulaye Dia,Centre-Forward,25,12,Spain,LaLiga,Villarreal CF,Italy,Serie A,US Salernitana 1919,1
Krzysztof Piatek,Centre-Forward,27,12,Germany,Bundesliga,Hertha BSC,Italy,Serie A,US Salernitana 1919,1
Sam Johnstone,Goalkeeper,29,12,England,Championship,West Bromwich Albion,England,Premier League,Crystal Palace,free transfer
André Onana,Goalkeeper,26,12,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Inter Milan,free transfer
Divock Origi,Centre-Forward,27,12,England,Premier League,Liverpool FC,Italy,Serie A,AC Milan,free transfer
Clément Lenglet,Centre-Back,27,12,Spain,LaLiga,FC Barcelona,England,Premier League,Tottenham Hotspur,loan transfer
Ángel Di María,Right Winger,34,12,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,free transfer
Taty Castellanos,Centre-Forward,23,12,United States,MLS,New York City FC,Spain,LaLiga,Girona FC,loan transfer
Adnan Januzaj,Right Winger,27,12,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Sevilla FC,free transfer
Loïc Badé,Centre-Back,22,12,France,Ligue 1,Stade Rennais FC,England,Premier League,Nottingham Forest,loan transfer
Marcos Alonso,Left-Back,31,12,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,free transfer
Marcus Tavernier,Central Midfield,23,4,England,Championship,Middlesbrough FC,England,Premier League,AFC Bournemouth,11
Julio Enciso,Second Striker,18,11,Paraguay,Primera División Clausura,Club Libertad Asunción,England,Premier League,Brighton & Hove Albion,11
Jörgen Strand Larsen,Centre-Forward,22,6,Netherlands,Eredivisie,FC Groningen,Spain,LaLiga,Celta de Vigo,11
Joshua Zirkzee,Centre-Forward,21,11,Germany,Bundesliga,Bayern Munich,Italy,Serie A,Bologna FC 1909,8
Matheus Henrique,Central Midfield,24,11,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Italy,Serie A,US Sassuolo,8
Nicolás Tagliafico,Left-Back,29,11,Netherlands,Eredivisie,Ajax Amsterdam,France,Ligue 1,Olympique Lyon,4
Mady Camara,Central Midfield,25,11,Greece,Super League 1,Olympiacos Piraeus,Italy,Serie A,AS Roma,1
Flynn Downes,Central Midfield,23,2,Wales,Championship,Swansea City,England,Premier League,West Ham United,10
Gabriel Sara,Central Midfield,23,6,Brazil,Série A,São Paulo Futebol Clube,England,Championship,Norwich City,10
James Garner,Defensive Midfield,21,7,England,Premier League 2,Manchester United U21,England,Premier League,Everton FC,10
Jakub Kaminski,Left Winger,20,10,Poland,Ekstraklasa,Lech Poznan,Germany,Bundesliga,VfL Wolfsburg,10
Rúben Vinagre,Left-Back,23,5,England,Premier League,Wolverhampton Wanderers,Portugal,Liga Portugal,Sporting CP,10
Jens Petter Hauge,Right Winger,22,8,Italy,Serie A,AC Milan,Germany,Bundesliga,Eintracht Frankfurt,10
Armel Bella-Kotchap,Centre-Back,20,10,Germany,Bundesliga,VfL Bochum,England,Premier League,Southampton FC,10
Giulian Biancone,Right-Back,22,4,France,Ligue 1,ESTAC Troyes,England,Premier League,Nottingham Forest,10
Kristian Thorstvedt,Attacking Midfield,23,5,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,US Sassuolo,10
Luis Suárez,Centre-Forward,24,9,Spain,LaLiga2,Granada CF,France,Ligue 1,Olympique Marseille,10
Junya Ito,Right Winger,29,7,Belgium,Jupiler Pro League,KRC Genk,France,Ligue 1,Stade Reims,10
Borja Mayoral,Centre-Forward,25,9,Spain,LaLiga,Real Madrid,Spain,LaLiga,Getafe CF,10
Raphael Onyedika,Defensive Midfield,21,5,Denmark,Superligaen,FC Midtjylland,Belgium,Jupiler Pro League,Club Brugge KV,10
Armand Laurienté,Right Winger,23,7,France,Ligue 1,FC Lorient,Italy,Serie A,US Sassuolo,10
El Bilal Touré,Centre-Forward,20,6,France,Ligue 1,Stade Reims,Spain,LaLiga,UD Almería,10
Ademola Lookman,Left Winger,24,10,Germany,Bundesliga,RB Leipzig,Italy,Serie A,Atalanta BC,9
Guglielmo Vicario,Goalkeeper,25,10,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,8
Rolando Mandragora,Defensive Midfield,25,10,Italy,Serie A,Juventus FC,Italy,Serie A,ACF Fiorentina,8
Joe Aribo,Central Midfield,25,10,Scotland,Premiership,Rangers FC,England,Premier League,Southampton FC,7
Beto,Centre-Forward,24,10,Portugal,Liga Portugal,Portimonense SC,Italy,Serie A,Udinese Calcio,7
Gianluca Caprari,Second Striker,28,10,Italy,Serie A,UC Sampdoria,Italy,Serie A,Hellas Verona,5
Ozan Kabak,Centre-Back,22,10,Germany,Bundesliga,FC Schalke 04,Germany,Bundesliga,TSG 1899 Hoffenheim,5
Wilfried Gnonto,Second Striker,18,10,Switzerland,Super League,FC Zürich,England,Premier League,Leeds United,4
Hugo Duro,Centre-Forward,22,10,Spain,LaLiga,Getafe CF,Spain,LaLiga,Valencia CF,4
Mario Götze,Attacking Midfield,30,10,Netherlands,Eredivisie,PSV Eindhoven,Germany,Bundesliga,Eintracht Frankfurt,4
Kristjan Asllani,Defensive Midfield,20,10,Italy,Serie A,FC Empoli,Italy,Serie A,Inter Milan,4
Trezeguet,Left Winger,27,10,England,Premier League,Aston Villa,Turkey,Süper Lig,Trabzonspor,4
Michy Batshuayi,Centre-Forward,28,10,England,Premier League,Chelsea FC,Turkey,Süper Lig,Fenerbahce SK,3
Gianluca Caprari,Second Striker,28,10,Italy,Serie A,Hellas Verona,Italy,Serie A,AC Monza,3
Léo Dubois,Right-Back,27,10,France,Ligue 1,Olympique Lyon,Turkey,Süper Lig,Galatasaray A.S.,2
Aster Vranckx,Central Midfield,19,10,Germany,Bundesliga,VfL Wolfsburg,Italy,Serie A,AC Milan,2
Alexander Sörloth,Centre-Forward,26,10,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Real Sociedad,1
Alessio Cragno,Goalkeeper,28,10,Italy,Serie B,Cagliari Calcio,Italy,Serie A,AC Monza,0.4
Manu Sánchez,Left-Back,21,10,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,CA Osasuna,0.2
Cyle Larin,Left Winger,27,10,Turkey,Süper Lig,Besiktas JK,Belgium,Jupiler Pro League,Club Brugge KV,free transfer
Ivan Perisic,Left Midfield,33,10,Italy,Serie A,Inter Milan,England,Premier League,Tottenham Hotspur,free transfer
Pierluigi Gollini,Goalkeeper,27,10,Italy,Serie A,Atalanta BC,Italy,Serie A,ACF Fiorentina,loan transfer
Federico Bernardeschi,Right Winger,28,10,Italy,Serie A,Juventus FC,Canada,MLS,Toronto FC,free transfer
Aleksey Miranchuk,Attacking Midfield,26,10,Italy,Serie A,Atalanta BC,Italy,Serie A,Torino FC,loan transfer
Alex Mowatt,Central Midfield,27,10,England,Championship,West Bromwich Albion,England,Championship,Middlesbrough FC,loan transfer
Ander Herrera,Central Midfield,33,10,France,Ligue 1,Paris Saint-Germain,Spain,LaLiga,Athletic Bilbao,loan transfer
Nicolò Rovella,Defensive Midfield,20,10,Italy,Serie A,Juventus FC,Italy,Serie A,AC Monza,loan transfer
Stefan Posch,Centre-Back,25,10,Germany,Bundesliga,TSG 1899 Hoffenheim,Italy,Serie A,Bologna FC 1909,loan transfer
Serhou Guirassy,Centre-Forward,26,10,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,VfB Stuttgart,loan transfer
Ainsley Maitland-Niles,Right Midfield,25,10,England,Premier League,Arsenal FC,England,Premier League,Southampton FC,loan transfer
Amine Harit,Attacking Midfield,25,10,Germany,Bundesliga,FC Schalke 04,France,Ligue 1,Olympique Marseille,loan transfer
Loïs Openda,Centre-Forward,22,7,Belgium,Jupiler Pro League,Club Brugge KV,France,Ligue 1,RC Lens,9
Cucho Hernández,Centre-Forward,23,9,England,Championship,Watford FC,United States,MLS,Columbus Crew,9
José Manuel López,Centre-Forward,21,8,Argentina,Liga Profesional,Club Atlético Lanús,Brazil,Série A,Sociedade Esportiva Palmeiras,9
Andreas Pereira,Attacking Midfield,26,7,England,Premier League,Manchester United,England,Premier League,Fulham FC,9
Ahmetcan Kaplan,Centre-Back,19,2,Turkey,Süper Lig,Trabzonspor,Netherlands,Eredivisie,Ajax Amsterdam,9
Lewis O'Brien,Central Midfield,23,3,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,9
Alphonse Areola,Goalkeeper,29,8,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,9
Gabriel Slonina,Goalkeeper,18,3,United States,MLS,Chicago Fire FC,England,Premier League,Chelsea FC,9
Perr Schuurs,Centre-Back,22,7,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Torino FC,9
Brandon Soppy,Right-Back,20,5,Italy,Serie A,Udinese Calcio,Italy,Serie A,Atalanta BC,9
Christopher Wooh,Centre-Back,20,3,France,Ligue 1,RC Lens,France,Ligue 1,Stade Rennais FC,9
Jhon Lucumí,Centre-Back,24,9,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,Bologna FC 1909,8
Adam Buksa,Centre-Forward,25,9,United States,MLS,New England Revolution,France,Ligue 1,RC Lens,6
Andreas Cornelius,Centre-Forward,29,9,Turkey,Süper Lig,Trabzonspor,Denmark,Superligaen,FC Copenhagen,6
Kevin Mbabu,Right-Back,27,9,Germany,Bundesliga,VfL Wolfsburg,England,Premier League,Fulham FC,5
Bernd Leno,Goalkeeper,30,9,England,Premier League,Arsenal FC,England,Premier League,Fulham FC,3
Kristijan Jakic,Defensive Midfield,25,9,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Germany,Bundesliga,Eintracht Frankfurt,3
Anwar El Ghazi,Right Winger,27,9,England,Premier League,Aston Villa,Netherlands,Eredivisie,PSV Eindhoven,2
Predrag Rajković,Goalkeeper,26,9,France,Ligue 1,Stade Reims,Spain,LaLiga,RCD Mallorca,2
Nikola Moro,Defensive Midfield,24,9,Russia,Premier Liga,Dynamo Moscow,Italy,Serie A,Bologna FC 1909,1
Ricardo Pepi,Centre-Forward,19,9,Germany,Bundesliga,FC Augsburg,Netherlands,Eredivisie,FC Groningen,0.5
Portu,Right Winger,30,9,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Getafe CF,loan transfer
Freddie Woodman,Goalkeeper,25,9,England,Premier League,Newcastle United,England,Championship,Preston North End,?
Óscar Rodríguez,Attacking Midfield,24,9,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Celta de Vigo,loan transfer
Unai Núñez,Centre-Back,25,9,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga,Celta de Vigo,loan transfer
Luca Pellegrini,Left-Back,23,9,Italy,Serie A,Juventus FC,Germany,Bundesliga,Eintracht Frankfurt,loan transfer
Paco Alcácer,Centre-Forward,28,9,Spain,LaLiga,Villarreal CF,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,free transfer
Jean-Philippe Gbamin,Defensive Midfield,26,9,England,Premier League,Everton FC,Turkey,Süper Lig,Trabzonspor,loan transfer
Ilaix Moriba,Central Midfield,19,9,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Valencia CF,loan transfer
Rafinha,Central Midfield,29,9,France,Ligue 1,Paris Saint-Germain,Qatar,Stars League,Al-Arabi SC,free transfer
Ritsu Doan,Right Winger,24,8,Netherlands,Eredivisie,PSV Eindhoven,Germany,Bundesliga,SC Freiburg,8
João Victor,Centre-Back,23,8,Brazil,Série A,Sport Club Corinthians Paulista,Portugal,Liga Portugal,SL Benfica,8
Omar Richards,Left-Back,24,7,Germany,Bundesliga,Bayern Munich,England,Premier League,Nottingham Forest,8
Andrea Cambiaso,Left-Back,22,5,Italy,Serie B,Genoa CFC,Italy,Serie A,Juventus FC,8
Giulio Maggiore,Central Midfield,24,8,Italy,Serie A,Spezia Calcio,Italy,Serie A,US Salernitana 1919,4
Alexander Bah,Right-Back,24,7,Czech Republic,Fortuna Liga,SK Slavia Prague,Portugal,Liga Portugal,SL Benfica,8
Simon Adingra,Left Winger,20,1,Denmark,Superligaen,FC Nordsjaelland,England,Premier League,Brighton & Hove Albion,8
André Almeida,Central Midfield,22,5,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,Valencia CF,8
Nathan Ngoumou,Right Winger,22,2,France,Ligue 1,FC Toulouse,Germany,Bundesliga,Borussia Mönchengladbach,8
Marcos Antônio,Central Midfield,22,8,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,SS Lazio,7
Kaiky,Centre-Back,18,8,Brazil,Série A,Santos FC,Spain,LaLiga,UD Almería,7
Lucas Alario,Centre-Forward,29,8,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,Eintracht Frankfurt,6
Patrick Wimmer,Right Winger,21,8,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,VfL Wolfsburg,5
Anders Dreyer,Right Winger,24,8,Russia,1.Division,Rubin Kazan,Denmark,Superligaen,FC Midtjylland,5
Francisco Conceição,Right Winger,19,8,Portugal,Liga Portugal,FC Porto,Netherlands,Eredivisie,Ajax Amsterdam,5
Flavius Daniliuc,Centre-Back,21,8,France,Ligue 1,OGC Nice,Italy,Serie A,US Salernitana 1919,5
Carlos Vinícius,Centre-Forward,27,8,Portugal,Liga Portugal,SL Benfica,England,Premier League,Fulham FC,5
Denis Bouanga,Left Winger,27,8,France,Ligue 2,AS Saint-Étienne,United States,MLS,Los Angeles FC,4
Kastriot Imeri,Central Midfield,22,8,Switzerland,Super League,Servette FC,Switzerland,Super League,BSC Young Boys,3
Enis Bardhi,Attacking Midfield,27,8,Spain,LaLiga2,Levante UD,Turkey,Süper Lig,Trabzonspor,3
Moi Gómez,Left Winger,28,8,Spain,LaLiga,Villarreal CF,Spain,LaLiga,CA Osasuna,1
Haris Seferovic,Centre-Forward,30,8,Portugal,Liga Portugal,SL Benfica,Turkey,Süper Lig,Galatasaray A.S.,1
Malang Sarr,Centre-Back,23,8,England,Premier League,Chelsea FC,Monaco,Ligue 1,AS Monaco,1
Domingos Duarte,Centre-Back,27,8,Spain,LaLiga2,Granada CF,Spain,LaLiga,Getafe CF,0.75
Alejandro Pozuelo,Attacking Midfield,30,8,Canada,MLS,Toronto FC,United States,MLS,Inter Miami CF,0.136
Romain Saïss,Centre-Back,32,8,England,Premier League,Wolverhampton Wanderers,Turkey,Süper Lig,Besiktas JK,free transfer
Isaac Hayden,Defensive Midfield,27,8,England,Premier League,Newcastle United,England,Championship,Norwich City,loan transfer
Jordan Larsson,Centre-Forward,25,8,Russia,Premier Liga,Spartak Moscow,Germany,Bundesliga,FC Schalke 04,free transfer
Henrikh Mkhitaryan,Attacking Midfield,33,8,Italy,Serie A,AS Roma,Italy,Serie A,Inter Milan,free transfer
Abdallah Sima,Right Winger,21,8,England,Premier League,Brighton & Hove Albion,France,Ligue 1,Angers SCO,loan transfer
Joshua King,Centre-Forward,30,8,England,Championship,Watford FC,Turkey,Süper Lig,Fenerbahce SK,free transfer
Christos Tzolis,Left Winger,20,8,England,Championship,Norwich City,Netherlands,Eredivisie,Twente Enschede FC,loan transfer
Zinho Vanheusden,Centre-Back,22,8,Italy,Serie A,Inter Milan,Netherlands,Eredivisie,AZ Alkmaar,loan transfer
Pol Lirola,Right-Back,24,8,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Elche CF,loan transfer
Jens Petter Hauge,Right Winger,22,8,Germany,Bundesliga,Eintracht Frankfurt,Belgium,Jupiler Pro League,KAA Gent,loan transfer
Reinier,Attacking Midfield,20,8,Spain,LaLiga,Real Madrid,Spain,LaLiga,Girona FC,loan transfer
Kacper Kozlowski,Central Midfield,18,8,England,Premier League,Brighton & Hove Albion,Netherlands,Eredivisie,Vitesse Arnhem,loan transfer
Marco Carnesecchi,Goalkeeper,22,8,Italy,Serie A,Atalanta BC,Italy,Serie A,US Cremonese,loan transfer
Munir El Haddadi,Centre-Forward,26,8,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Getafe CF,free transfer
Ez Abde,Left Winger,20,8,Spain,LaLiga,FC Barcelona,Spain,LaLiga,CA Osasuna,loan transfer
Vedat Muriqi,Centre-Forward,28,7,Italy,Serie A,SS Lazio,Spain,LaLiga,RCD Mallorca,7
Bartol Franjic,Defensive Midfield,22,4,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Germany,Bundesliga,VfL Wolfsburg,7
Jota,Left Winger,23,7,Portugal,Liga Portugal,SL Benfica,Scotland,Premiership,Celtic FC,7
Nicolò Casale,Centre-Back,24,7,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,7
Takefusa Kubo,Right Winger,21,7,Spain,LaLiga,Real Madrid,Spain,LaLiga,Real Sociedad,6
Guus Til,Attacking Midfield,24,7,Russia,Premier Liga,Spartak Moscow,Netherlands,Eredivisie,PSV Eindhoven,3
Grischa Prömel,Central Midfield,27,7,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,TSG 1899 Hoffenheim,free transfer
Ezgjan Alioski,Left Midfield,30,7,Saudi Arabia,Without League,Al-Ahli Saudi FC,Turkey,Süper Lig,Fenerbahce SK,loan transfer
Isco,Attacking Midfield,30,7,Spain,LaLiga,Real Madrid,Spain,LaLiga,Sevilla FC,free transfer
Alexandru Cicaldau,Central Midfield,25,7,Turkey,Süper Lig,Galatasaray A.S.,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,loan transfer
Quinten Timber,Central Midfield,21,4,Netherlands,Eredivisie,FC Utrecht,Netherlands,Eredivisie,Feyenoord Rotterdam,7
Cameron Carter-Vickers,Centre-Back,24,7,England,Premier League,Tottenham Hotspur,Scotland,Premiership,Celtic FC,7
Strahinja Pavlovic,Centre-Back,21,5,Monaco,Ligue 1,AS Monaco,Austria,Bundesliga,Red Bull Salzburg,7
Matteo Lovato,Centre-Back,22,7,Italy,Serie A,Atalanta BC,Italy,Serie A,US Salernitana 1919,7
Aaron Boupendza,Centre-Forward,26,7,Qatar,Stars League,Al-Arabi SC,Saudi Arabia,Professional League,Al-Shabab Club (Riyadh),7
Malick Thiaw,Centre-Back,21,6,Germany,Bundesliga,FC Schalke 04,Italy,Serie A,AC Milan,7
Lázaro,Left Winger,20,7,Brazil,Série A,Clube de Regatas do Flamengo,Spain,LaLiga,UD Almería,7
Samuel Lino,Left Winger,22,7,Portugal,Liga Portugal,Gil Vicente FC,Spain,LaLiga,Atlético de Madrid,6
Jorge Carrascal,Attacking Midfield,24,7,Argentina,Liga Profesional,CA River Plate,Russia,Premier Liga,CSKA Moscow,6
Jordan,Centre-Forward,26,7,Switzerland,Super League,BSC Young Boys,Germany,Bundesliga,1.FC Union Berlin,6
Giuliano Galoppo,Central Midfield,23,7,Argentina,Liga Profesional,CA Banfield,Brazil,Série A,São Paulo Futebol Clube,6
Luan Peres,Centre-Back,28,7,France,Ligue 1,Olympique Marseille,Turkey,Süper Lig,Fenerbahce SK,5
Toby Alderweireld,Centre-Back,33,7,Qatar,Stars League,Al-Duhail SC,Belgium,Jupiler Pro League,Royal Antwerp FC,4
Ui-jo Hwang,Centre-Forward,29,7,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Nottingham Forest,4
Marquinhos,Right Winger,19,7,Brazil,Série A,São Paulo Futebol Clube,England,Premier League,Arsenal FC,3
Raoul Bellanova,Right-Back,22,7,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Inter Milan,3
Willian Arão,Defensive Midfield,29,7,Brazil,Série A,Clube de Regatas do Flamengo,Turkey,Süper Lig,Fenerbahce SK,3
Morten Thorsby,Central Midfield,26,7,Italy,Serie A,UC Sampdoria,Germany,Bundesliga,1.FC Union Berlin,3
Théo Bongonda,Left Winger,26,7,Belgium,Jupiler Pro League,KRC Genk,Spain,LaLiga,Cádiz CF,3
Adam Ounas,Right Winger,25,7,Italy,Serie A,SSC Napoli,France,Ligue 1,LOSC Lille,3
Oliver Abildgaard,Defensive Midfield,26,7,Russia,1.Division,Rubin Kazan,Scotland,Premiership,Celtic FC,1
Raoul Bellanova,Right-Back,22,7,France,Ligue 2,FC Girondins Bordeaux,Italy,Serie B,Cagliari Calcio,0.7
Diogo Leite,Centre-Back,23,7,Portugal,Liga Portugal,FC Porto,Germany,Bundesliga,1.FC Union Berlin,0.5
Anthony Caci,Left-Back,25,7,France,Ligue 1,RC Strasbourg Alsace,Germany,Bundesliga,1.FSV Mainz 05,free transfer
John Swift,Central Midfield,27,7,England,Championship,Reading FC,England,Championship,West Bromwich Albion,free transfer
Taylor Harwood-Bellis,Centre-Back,20,7,England,Premier League 2,Manchester City U21,England,Championship,Burnley FC,loan transfer
Stefano Sensi,Central Midfield,26,7,Italy,Serie A,Inter Milan,Italy,Serie A,AC Monza,loan transfer
Martín Satriano,Centre-Forward,21,7,Italy,Serie A,Inter Milan,Italy,Serie A,FC Empoli,loan transfer
Colin Dagba,Right-Back,23,7,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,RC Strasbourg Alsace,loan transfer
Ghislain Konan,Left-Back,26,7,France,Ligue 1,Stade Reims,Saudi Arabia,Professional League,Al-Nassr Riad,free transfer
Thomas Strakosha,Goalkeeper,27,7,Italy,Serie A,SS Lazio,England,Premier League,Brentford FC,free transfer
Samuel Lino,Left Winger,22,7,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Valencia CF,loan transfer
Riqui Puig,Central Midfield,22,7,Spain,LaLiga,FC Barcelona,United States,MLS,Los Angeles Galaxy,free transfer
Yeferson Soteldo,Left Winger,25,7,Mexico,Liga MX Apertura,Tigres UANL,Brazil,Série A,Santos FC,loan transfer
Ui-jo Hwang,Centre-Forward,29,7,England,Premier League,Nottingham Forest,Greece,Super League 1,Olympiacos Piraeus,loan transfer
